,traditional,pinyin,pinyin(raw),tone,definition,variants,measure-words
1004,勳,xūn,xun,1,[],"[{u'ch': '\xe5\x8b\x9b', u'py': 'xun1', u'chs': '\xe5\x8b\x8b', u'vartype': ''}]",[]
1005,勵,lì,li,4,"['to encourage', 'to urge']",[],[]
1006,勷,ráng,rang,2,['haste'],[],[]
1007,勸,quàn,quan,4,"['to advise', 'to urge', 'to try to persuade', 'to exhort', 'to console', 'to soothe']",[],[]
1008,勹,bāo,bao,1,[],"[{u'ch': '\xe5\x8c\x85', u'py': 'bao1', u'chs': '\xe5\x8c\x85', u'vartype': 'archaic'}]",[]
1009,勺,sháo,shao,2,"['spoon', 'ladle', 'abbr. for \xe5\x85\xac\xe5\x8b\xba[gong1 shao2], centiliter (unit of volume)']",[],"[('\xe6\x8a\x8a', '\xe6\x8a\x8a', 'ba3')]"
1010,勻,yún,yun,2,"['even', 'well-distributed', 'uniform', 'to distribute evenly', 'to share']",[],[]
1011,勾,goū,gou,1,"['to attract', 'to arouse', 'to tick', 'to strike out', 'to delineate', 'to collude', 'variant of \xe9\x89\xa4|\xe9\x92\xa9[gou1], hook']",[],[]
1012,勾,goù,gou,4,['see \xe5\x8b\xbe\xe7\x95\xb6|\xe5\x8b\xbe\xe5\xbd\x93[gou4 dang4]'],[],[]
1013,勿,wù,wu,4,['do not'],[],[]
1014,匃,gài,gai,4,[],"[{u'ch': '\xe4\xb8\x90', u'py': 'gai4', u'chs': '\xe4\xb8\x90', u'vartype': ''}]",[]
1015,匄,gài,gai,4,[],"[{u'ch': '\xe4\xb8\x90', u'py': 'gai4', u'chs': '\xe4\xb8\x90', u'vartype': ''}]",[]
1016,包,bāo,bao,1,"['to cover', 'to wrap', 'to hold', 'to include', 'to take charge of', 'to contract (to or for)', 'package', 'wrapper', 'container', 'bag', 'to hold or embrace', 'bundle', 'packet']",[],"[('\xe5\x80\x8b', '\xe4\xb8\xaa', 'ge4'), ('\xe9\x9a\xbb', '\xe5\x8f\xaa', 'zhi1')]"
1017,匆,cōng,cong,1,"['hurried', 'hasty']",[],[]
1018,匈,xiōng,xiong,1,[],"[{u'ch': '\xe8\x83\xb8', u'py': 'xiong1', u'chs': '\xe8\x83\xb8', u'vartype': 'old'}]",[]
1019,匉,pēng,peng,1,['noise of waters'],[],[]
1020,匊,jú,ju,2,['receive with both hands'],[],[]
1021,匋,táo,tao,2,['pottery'],[],[]
1022,匍,pú,pu,2,"['crawl', 'lie prostrate']",[],[]
1023,匏,páo,pao,2,"['bottle gourd', 'Lagenaria vulgaris']",[],[]
1024,匐,fú,fu,2,['to fall prostrate'],[],[]
1025,匑,gōng,gong,1,"['to bow', 'to salute']",[],[]
1026,匔,gōng,gong,1,[],"[{u'ch': '\xe5\x8c\x91', u'py': 'gong1', u'chs': '\xe5\x8c\x91', u'vartype': 'old'}]",[]
1027,匕,bǐ,bi,3,"['dagger', 'ladle', 'ancient type of spoon']",[],[]
1028,化,huā,hua,1,[],"[{u'ch': '\xe8\x8a\xb1', u'py': 'hua1', u'chs': '\xe8\x8a\xb1', u'vartype': ''}]",[]
1029,化,huà,hua,4,"['to make into', 'to change into', '-ization', 'to ... -ize', 'to transform', 'abbr. for \xe5\x8c\x96\xe5\xad\xb8|\xe5\x8c\x96\xe5\xad\xa6[hua4 xue2]']",[],[]
1030,北,běi,bei,3,"['north', 'to be defeated (classical)']",[],[]
1031,匘,nǎo,nao,3,[],"[{u'ch': '\xe8\x85\xa6', u'py': 'nao3', u'chs': '\xe8\x84\x91', u'vartype': 'old'}]",[]
1032,匙,chí,chi,2,['spoon'],[],[]
1033,匚,fāng,fang,1,"['radical in Chinese characters (Kangxi radical 22), occurring in \xe5\x8c\xba, \xe5\x8c\xbb, \xe5\x8c\xb9 etc']","[{u'ch': '\xe4\xb8\x89\xe6\xa1\x86\xe6\xac\x84', u'py': 'san1 kuang4 lan2', u'chs': '\xe4\xb8\x89\xe6\xa1\x86\xe6\xa0\x8f', u'vartype': ''}, {u'ch': '\xe5\x8d\x80\xe5\xad\x97\xe6\xa1\x86', u'py': 'qu1 zi4 kuang4', u'chs': '\xe5\x8c\xba\xe5\xad\x97\xe6\xa1\x86', u'vartype': ''}]",[]
1034,匜,yí,yi,2,['washbasin with a tubular handle'],[],[]
1035,匝,zā,za,1,"['circuit', 'to surround', 'to extend (everywhere)']",[],[]
1036,匞,jiàng,jiang,4,[],"[{u'ch': '\xe5\x8c\xa0', u'py': 'jiang4', u'chs': '\xe5\x8c\xa0', u'vartype': 'old'}]",[]
1037,匟,kàng,kang,4,[],"[{u'ch': '\xe7\x82\x95', u'py': 'kang4', u'chs': '\xe7\x82\x95', u'vartype': 'old'}]",[]
1038,匠,jiàng,jiang,4,['craftsman'],[],[]
1039,匡,kuāng,kuang,1,['to rectify'],[],[]
1040,匣,xiá,xia,2,['box'],[],[]
1041,匧,qiè,qie,4,[],"[{u'ch': '\xe7\xaf\x8b', u'py': 'qie4', u'chs': '\xe7\xae\xa7', u'vartype': 'old'}]",[]
1042,匪,fěi,fei,3,"['bandit', '(literary) not']",[],[]
1043,匭,guǐ,gui,3,['small box'],[],[]
1044,匯,huì,hui,4,"['to remit', 'to converge (of rivers)', 'to exchange']",[],[]
1045,匱,guì,gui,4,[],"[{u'ch': '\xe6\xab\x83', u'py': 'gui4', u'chs': '\xe6\x9f\x9c', u'vartype': ''}]",[]
1046,匱,kuì,kui,4,"['to lack', 'lacking', 'empty', 'exhausted']",[],[]
1047,匲,lián,lian,2,[],"[{u'ch': '\xe5\xa5\xa9', u'py': 'lian2', u'chs': '\xe5\xa5\x81', u'vartype': ''}]",[]
1048,匳,lián,lian,2,[],"[{u'ch': '\xe5\xa5\xa9', u'py': 'lian2', u'chs': '\xe5\xa5\x81', u'vartype': ''}]",[]
1049,匴,suǎn,suan,3,"['ancient utensil for washing rice (or being used as a plate)', 'ancient bamboo container for hats']",[],[]
1050,匵,dú,du,2,[],"[{u'ch': '\xe6\xab\x9d', u'py': 'du2', u'chs': '\xe6\xa4\x9f', u'vartype': 'old'}]",[]
1051,匶,jiù,jiu,4,[],"[{u'ch': '\xe6\x9f\xa9', u'py': 'jiu4', u'chs': '\xe6\x9f\xa9', u'vartype': 'old'}]",[]
1052,匸,xì,xi,4,"['""cover"" or ""conceal"" radical in Chinese characters (Kangxi radical 23)']","[{u'ch': '\xe5\x8c\x9a', u'py': 'fang1', u'chs': '\xe5\x8c\x9a', u'vartype': ''}]",[]
1053,匹,pī,pi,1,"['mate', 'one of a pair']",[],[]
1054,匹,pǐ,pi,3,"['classifier for horses, mules etc', 'Taiwan pr. [pi1]', 'ordinary person', 'classifier for cloth: bolt', 'horsepower']",[],[]
1055,匽,yǎn,yan,3,"['to hide, to secrete, to repress', 'to bend']",[],[]
1056,匾,biǎn,bian,3,"['horizontal rectangular inscribed tablet hung over a door or on a wall', 'shallow round woven bamboo basket']",[],[]
1057,匿,nì,ni,4,['to hide'],[],[]
1058,區,qū,qu,1,"['area', 'region', 'district', 'small', 'distinguish']",[],"[('\xe5\x80\x8b', '\xe4\xb8\xaa', 'ge4')]"
1059,十,shí,shi,2,"['ten', '10']",[],[]
1060,卂,xùn,xun,4,['(archaic) to fly rapidly'],[],[]
1061,千,qiān,qian,1,['thousand'],[],[]
1062,卄,niàn,nian,4,"['twenty, twentieth']",[],[]
1063,卅,sà,sa,4,['thirty'],[],[]
1064,卆,zú,zu,2,"['variant of \xe5\x8d\x92[zu2], soldier', 'to die']",[],[]
1065,升,shēng,sheng,1,"['to ascend', 'to rise to the rank of', 'to promote', 'to hoist', 'liter', 'measure for dry grain equal to one-tenth dou \xe6\x96\x97[dou3]']",[],[]
1066,午,wǔ,wu,3,"['7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse', 'ancient Chinese compass point: 180\xc2\xb0 (south)']",[],[]
1067,卉,huì,hui,4,['plants'],[],[]
1068,半,bàn,ban,4,"['half', 'semi-', 'incomplete', '(after a number) and a half']",[],[]
1069,卋,shì,shi,4,[],"[{u'ch': '\xe4\xb8\x96', u'py': 'shi4', u'chs': '\xe4\xb8\x96', u'vartype': 'old'}]",[]
1070,卌,xì,xi,4,['forty'],[],[]
1071,卍,wàn,wan,4,"['swastika, a sacred and auspicious symbol in Hinduism, Buddhism, and Jainism']",[],[]
1072,卐,wàn,wan,4,"['swastika, a sacred and auspicious symbol in Hinduism, Buddhism, and Jainism, later adopted by Nazi Germany']",[],[]
1073,卑,bēi,bei,1,"['low', 'base', 'vulgar', 'inferior', 'humble']",[],[]
1074,卒,cù,cu,4,[],"[{u'ch': '\xe7\x8c\x9d', u'py': 'cu4', u'chs': '\xe7\x8c\x9d', u'vartype': ''}]",[]
1075,卒,zú,zu,2,"['soldier', 'servant', 'to finish', 'to die', 'finally', 'at last', 'pawn in Chinese chess']",[],[]
1076,卓,zhuó,zhuo,2,['outstanding'],[],[]
1077,協,xié,xie,2,"['to cooperate', 'to harmonize', 'to help', 'to assist', 'to join']",[],[]
1078,南,nán,nan,2,['south'],[],[]
1079,単,dān,dan,1,[],"[{u'ch': '\xe5\x96\xae', u'py': '', u'chs': '\xe5\x8d\x95', u'vartype': 'Japanese'}]",[]
1080,博,bó,bo,2,"['extensive', 'ample', 'rich', 'obtain', 'aim', 'to win', 'to get', 'plentiful', 'to gamble']",[],[]
1081,卛,shuài,shuai,4,[],"[{u'ch': '\xe7\x8e\x87', u'py': 'shuai4', u'chs': '\xe7\x8e\x87', u'vartype': 'old'}]",[]
1082,卜,bǔ,bu,3,"['to divine', 'to forecast or estimate', '(of a place to live etc) to choose']",[],[]
1083,卝,guàn,guan,4,['two bunches of hair on a child'],[],[]
1084,卝,kuàng,kuang,4,[],"[{u'ch': '\xe7\xa4\xa6', u'py': 'kuang4', u'chs': '\xe7\x9f\xbf', u'vartype': 'classical'}]",[]
1085,卞,biàn,bian,4,['hurried'],[],[]
1086,卟,bǔ,bu,3,"['see \xe5\x8d\x9f\xe5\x95\x89, porphyrin', 'see \xe5\x8d\x9f\xe5\x90\xa9, porphin']",[],[]
1087,占,zhān,zhan,1,"['to observe', 'to divine']",[],[]
1088,占,zhàn,zhan,4,"['to take possession of', 'to occupy', 'to take up']",[],[]
1089,卡,kǎ,ka,3,"['to stop', 'to block', 'card', 'calorie', 'cassette', '(computing) (coll.) slow']",[],"[('\xe5\xbc\xb5', '\xe5\xbc\xa0', 'zhang1'), ('\xe7\x89\x87', '\xe7\x89\x87', 'pian4')]"
1090,卡,qiǎ,qia,3,"['to block', 'to be stuck', 'to be wedged', 'customs station', 'a clip', 'a fastener', 'a checkpost', 'Taiwan pr. [ka3]']",[],[]
1091,卣,yoǔ,you,3,['wine container'],[],[]
1092,卦,guà,gua,4,"['divinatory diagram', 'one of the eight divinatory trigrams of the Book of Changes \xe6\x98\x93\xe7\xb6\x93|\xe6\x98\x93\xe7\xbb\x8f[Yi4 jing1]', 'one of the sixty-four divinatory hexagrams of the Book of Changes \xe6\x98\x93\xe7\xb6\x93|\xe6\x98\x93\xe7\xbb\x8f[Yi4 jing1]']",[],[]
1093,卨,xiè,xie,4,"['used in old names', 'phonetic seol used in Korean names']",[],[]
1094,卩,jié,jie,2,"['""seal"" radical in Chinese characters (Kangxi radical 26)']",[],[]
1095,卪,jié,jie,2,[],"[{u'ch': '\xe7\xaf\x80', u'py': 'jie2', u'chs': '\xe8\x8a\x82', u'vartype': 'archaic'}]",[]
1096,卬,áng,ang,2,"['I (regional colloquial)', 'me']","[{u'ch': '\xe6\x98\x82', u'py': 'ang2', u'chs': '\xe6\x98\x82', u'vartype': ''}]",[]
1097,卮,zhī,zhi,1,['goblet'],[],[]
1098,卯,mǎo,mao,3,"['mortise (slot cut into wood to receive a tenon)', '4th earthly branch: 5-7 a.m., 2nd solar month (6th March-4th April), year of the Rabbit', 'ancient Chinese compass point: 90\xc2\xb0 (east)', ""to exert one's strength""]","[{u'ch': '\xe9\x89\x9a', u'py': 'mao3', u'chs': '\xe9\x93\x86', u'vartype': ''}]",[]
1099,印,yìn,yin,4,"['to print', 'to mark', 'to engrave', 'a seal', 'a print', 'a stamp', 'a mark', 'a trace', 'image']",[],[]
1100,危,wēi,wei,1,"['danger', 'to endanger', 'Taiwan pr. [wei2]']",[],[]
1101,即,jí,ji,2,"['namely', 'that is', 'i.e.', 'prompt', 'at once', 'at present', 'even if', 'prompted (by the occasion)', 'to approach', 'to come into contact', 'to assume (office)', 'to draw near']",[],[]
1102,卵,luǎn,luan,3,"['egg', 'ovum', 'spawn']",[],[]
1103,卷,juǎn,juan,3,"['to roll up', 'roll', 'classifier for small rolled things (wad of paper money, movie reel etc)']",[],[]
1104,卷,juàn,juan,4,"['scroll', 'book', 'volume', 'chapter', 'examination paper', 'classifier for books, paintings: volume, scroll']",[],[]
1105,卸,xiè,xie,4,"['to unload', 'to unhitch', 'to remove or strip', 'to get rid of']",[],[]
1106,卹,xù,xu,4,"['anxiety', 'sympathy', 'to sympathize', 'to give relief', 'to compensate']",[],[]
1107,卻,què,que,4,"['but', 'yet', 'however', 'while', 'to go back', 'to decline', 'to retreat', 'nevertheless', 'even though']",[],[]
1108,卼,wù,wu,4,"['uncomfortable', 'unsteady']",[],[]
1109,卽,jí,ji,2,['promptly'],"[{u'ch': '\xe5\x8d\xb3', u'py': 'ji2', u'chs': '\xe5\x8d\xb3', u'vartype': ''}]",[]
1110,卿,qīng,qing,1,"['high ranking official (old)', 'term of endearment between spouses (old)', '(from the Tang Dynasty onwards) term used by the emperor for his subjects (old)', 'honorific (old)']",[],[]
1111,厀,xī,xi,1,[],"[{u'ch': '\xe8\x86\x9d', u'py': 'xi1', u'chs': '\xe8\x86\x9d', u'vartype': 'old'}]",[]
1112,厂,hǎn,han,3,"['""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in \xe5\x8e\x9f, \xe5\x8e\x86, \xe5\x8e\x8b etc']",[],[]
1113,厄,è,e,4,['distressed'],[],[]
1114,厎,zhǐ,zhi,3,['whetstone'],[],[]
1115,厓,yá,ya,2,['old form of \xe5\xb4\x96 (cliff) and \xe6\xb6\xaf (bank)'],[],[]
1116,厔,zhì,zhi,4,['river bent'],[],[]
1117,厖,páng,pang,2,['huge'],[],[]
1118,厗,tí,ti,2,"['old stone or mineral, possibly related to antimony Sb \xe9\x8a\xbb|\xe9\x94\x91[ti1]']",[],[]
1119,厘,lí,li,2,[],"[{u'ch': '\xe9\x87\x90', u'py': 'li2', u'chs': '\xe5\x8e\x98', u'vartype': ''}]",[]
1120,厚,hoù,hou,4,"['thick', 'deep or profound', 'kind', 'generous', 'rich or strong in flavor', 'to favor', 'to stress']",[],[]
1121,厜,zuī,zui,1,['a mountain peak'],[],[]
1122,厝,cuò,cuo,4,"['to lay in place', 'to put', 'to place a coffin in a temporary location pending burial']",[],[]
1123,厞,fèi,fei,4,"['to hide', 'hideout']",[],[]
1124,原,yuán,yuan,2,"['former', 'original', 'primary', 'raw', 'level', 'cause', 'source']",[],[]
1125,厠,cè,ce,4,[],"[{u'ch': '\xe5\xbb\x81', u'py': 'ce4', u'chs': '\xe5\x8e\x95', u'vartype': ''}]",[]
1126,厤,lì,li,4,[],"[{u'ch': '\xe6\x9b\x86', u'py': 'li4', u'chs': '\xe5\x8e\x86', u'vartype': 'old'}, {u'ch': '\xe6\xad\xb7', u'py': 'li4', u'chs': '\xe5\x8e\x86', u'vartype': 'old'}]",[]
1127,厥,jué,jue,2,"['to faint', 'to lose consciousness', 'his', 'her', 'its', 'their']",[],[]
1128,厪,jǐn,jin,3,['hut'],[],[]
1129,厪,qín,qin,2,[],"[{u'ch': '\xe5\xbb\x91', u'py': 'qin2', u'chs': '\xe5\xbb\x91', u'vartype': ''}]",[]
1130,厭,yàn,yan,4,['to loathe'],[],[]
1131,厮,sī,si,1,[],"[{u'ch': '\xe5\xbb\x9d', u'py': 'si1', u'chs': '\xe5\x8e\xae', u'vartype': ''}]",[]
1132,厰,chǎng,chang,3,[],"[{u'ch': '\xe5\xbb\xa0', u'py': 'chang3', u'chs': '\xe5\x8e\x82', u'vartype': ''}]",[]
1133,厲,lì,li,4,"['strict', 'severe']",[],[]
1134,厳,yán,yan,2,[],"[{u'ch': '\xe5\x9a\xb4', u'py': '', u'chs': '\xe4\xb8\xa5', u'vartype': 'Japanese'}]",[]
1135,厴,yǎn,yan,3,"['operculum (Latin: little lid)', 'a covering flap (in various branches of anatomy)']",[],[]
1136,厶,moǔ,mou,3,[],"[{u'ch': '\xe6\x9f\x90', u'py': 'mou3', u'chs': '\xe6\x9f\x90', u'vartype': 'old'}]",[]
1137,厶,sī,si,1,[],"[{u'ch': '\xe7\xa7\x81', u'py': 'si1', u'chs': '\xe7\xa7\x81', u'vartype': 'old'}]",[]
1138,厷,gōng,gong,1,[],"[{u'ch': '\xe8\x82\xb1', u'py': 'gong1', u'chs': '\xe8\x82\xb1', u'vartype': 'old'}]",[]
1139,厷,hóng,hong,2,[],"[{u'ch': '\xe5\xae\x8f', u'py': 'hong2', u'chs': '\xe5\xae\x8f', u'vartype': 'old'}]",[]
1140,厹,qiú,qiu,2,['spear'],[],[]
1141,厹,roú,rou,2,['to trample'],[],[]
1142,厺,qù,qu,4,[],"[{u'ch': '\xe5\x8e\xbb', u'py': 'qu4', u'chs': '\xe5\x8e\xbb', u'vartype': 'old'}]",[]
1143,去,qù,qu,4,"['to go', 'to go to (a place)', '(of a time etc) last', 'just passed', 'to send', 'to remove', 'to get rid of', 'to reduce', 'to be apart from in space or time', 'to die (euphemism)', 'to play (a part)', '(when used either before or after a verb) to go in order to do sth', '(after a verb of motion indicates movement away from the speaker)', '(used after certain verbs to indicate detachment or separation)']",[],[]
1144,厾,dū,du,1,['to tap lightly'],[],[]
1145,叁,sān,san,1,[],"[{u'ch': '\xe5\x8f\x83', u'py': 'san1', u'chs': '\xe5\x8f\x81', u'vartype': ''}]",[]
1146,參,sān,san,1,"[""three (banker's anti-fraud numeral)""]",[],[]
1147,參,cān,can,1,"['to take part in', 'to participate', 'to join', 'to attend', 'to counsel', 'unequal', 'varied', 'irregular', 'uneven', 'not uniform', 'abbr. for \xe5\x8f\x83\xe8\xad\xb0\xe9\x99\xa2|\xe5\x8f\x82\xe8\xae\xae\xe9\x99\xa2 Senate, Upper House']",[],[]
1148,參,shēn,shen,1,"['ginseng', 'one of the 28 constellations']",[],[]
1149,叄,sān,san,1,[],"[{u'ch': '\xe5\x8f\x83', u'py': 'san1', u'chs': '\xe5\x8f\x81', u'vartype': ''}]",[]
1150,叅,cān,can,1,[],"[{u'ch': '\xe5\x8f\x83', u'py': 'can1', u'chs': '\xe5\x8f\x82', u'vartype': 'old'}]",[]
1151,又,yoù,you,4,"['(once) again', 'also', 'both... and...', 'and yet', '(used for emphasis) anyway']",[],[]
1152,叉,chā,cha,1,"['fork', 'pitchfork', 'prong', 'pick', 'cross', 'intersect', '""X""']",[],[]
1153,叉,chá,cha,2,"['to cross', 'be stuck']",[],[]
1154,叉,chǎ,cha,3,"['to diverge', 'to open (as legs)']",[],[]
1155,及,jí,ji,2,"['and', 'to reach', 'up to', 'in time for']",[],[]
1156,友,yoǔ,you,3,['friend'],[],[]
1157,反,fǎn,fan,3,"['contrary', 'in reverse', 'inside out or upside down', 'to reverse', 'to return', 'to oppose', 'opposite', 'against', 'anti-', 'to rebel', 'to use analogy', 'instead', 'abbr. for \xe5\x8f\x8d\xe5\x88\x87[fan3 qie4] phonetic system']",[],[]
1158,収,shoū,shou,1,[],"[{u'ch': '\xe6\x94\xb6', u'py': 'shou1', u'chs': '\xe6\x94\xb6', u'vartype': ''}]",[]
1159,叒,ruò,ruo,4,"['obedient', 'ancient mythical tree']","[{u'ch': '\xe8\x8b\xa5', u'py': 'ruo4', u'chs': '\xe8\x8b\xa5', u'vartype': 'old'}]",[]
1160,叔,shū,shu,1,"['uncle', ""father's younger brother"", ""husband's younger brother"", 'Taiwan pr. [shu2]']",[],[]
1161,叕,zhuó,zhuo,2,"['to join together', 'to lack', 'narrow and shallow']",[],[]
1162,取,qǔ,qu,3,"['to take', 'to get', 'to choose', 'to fetch']",[],[]
1163,受,shoù,shou,4,"['to receive', 'to accept', 'to suffer', 'subjected to', 'to bear', 'to stand', 'pleasant', '(passive marker)']",[],[]
1164,叚,jiǎ,jia,3,['to borrow'],"[{u'ch': '\xe5\x81\x87', u'py': 'jia3', u'chs': '\xe5\x81\x87', u'vartype': ''}]",[]
1165,叛,pàn,pan,4,"['to betray', 'to rebel', 'to revolt']",[],[]
1166,叟,soǔ,sou,3,"['old gentleman', 'old man']",[],[]
1167,叡,ruì,rui,4,[],"[{u'ch': '\xe7\x9d\xbf', u'py': 'rui4', u'chs': '\xe7\x9d\xbf', u'vartype': ''}]",[]
1168,叢,cóng,cong,2,"['cluster', 'collection', 'collection of books', 'thicket']",[],[]
1169,口,koǔ,kou,3,"['mouth', 'classifier for things with mouths (people, domestic animals, cannons, wells etc)', 'classifier for bites or mouthfuls']",[],[]
1170,古,gǔ,gu,3,"['ancient', 'old', 'paleo-']",[],[]
1171,句,goū,gou,1,[],"[{u'ch': '\xe5\x8b\xbe', u'py': 'gou1', u'chs': '\xe5\x8b\xbe', u'vartype': ''}]",[]
1172,句,jù,ju,4,"['sentence', 'clause', 'phrase', 'classifier for phrases or lines of verse']",[],[]
1173,另,lìng,ling,4,"['other', 'another', 'separate', 'separately']",[],[]
1174,叨,dāo,dao,1,['garrulous'],[],[]
1175,叨,tāo,tao,1,['to receive the benefit of'],[],[]
1176,叩,koù,kou,4,"['to knock', 'to kowtow']",[],[]
1177,只,zhǐ,zhi,3,"['only', 'merely', 'just', 'but']",[],[]
1178,叫,jiào,jiao,4,"['to shout', 'to call', 'to order', 'to ask', 'to be called', 'by (indicates agent in the passive mood)']",[],[]
1179,召,zhào,zhao,4,"['to call together', 'to summon', 'to convene', 'temple or monastery (used in place names in Inner Mongolia)']",[],[]
1180,叭,bā,ba,1,['denote a sound or sharp noise (gunfire etc)'],[],[]
1181,叮,dīng,ding,1,"['to sting or bite (of mosquito, bee etc)', 'to say repeatedly', 'to urge insistently', 'to ask repeatedly', 'to stick to a point', '(onom.) tinkling or jingling sound']",[],[]
1182,可,kě,ke,3,"['can', 'may', 'able to', 'to approve', 'to permit', 'to suit', '(particle used for emphasis) certainly', 'very']",[],[]
1183,可,kè,ke,4,['see \xe5\x8f\xaf\xe6\xb1\x97[ke4 han2]'],[],[]
1184,台,tái,tai,2,['(classical) you (in letters)'],"[{u'ch': '\xe8\x87\xba', u'py': 'tai2', u'chs': '\xe5\x8f\xb0', u'vartype': ''}]",[]
1185,叱,chì,chi,4,"['to scold', 'shout at', 'to hoot at']",[],[]
1186,史,shǐ,shi,3,"['history', 'annals', 'title of an official historian in ancient China']",[],[]
1187,右,yoù,you,4,"['right (-hand)', 'the Right (politics)', 'west (old)']",[],[]
1188,叵,pǒ,po,3,"['not', 'thereupon']",[],[]
1189,叶,xié,xie,2,['to be in harmony'],[],[]
1190,司,sī,si,1,"['to take charge of', 'to manage', 'department (under a ministry)']",[],[]
1191,叻,lè,le,4,['(used in place names)'],[],[]
1192,叼,diāo,diao,1,"[""to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)""]",[],[]
1193,吁,xū,xu,1,"['sh', 'hush']",[],[]
1194,吁,yù,yu,4,[],"[{u'ch': '\xe7\xb1\xb2', u'py': 'yu4', u'chs': '\xe5\x90\x81', u'vartype': ''}]",[]
1195,吃,chī,chi,1,"['to eat', 'to consume', 'to eat at (a cafeteria etc)', 'to eradicate', 'to destroy', 'to absorb', 'to suffer', 'to stammer (Taiwan pr. for this sense is [ji2])']",[],[]
1196,各,gè,ge,4,"['each', 'every']",[],[]
1197,吅,sòng,song,4,[],"[{u'ch': '\xe8\xa8\x9f', u'py': 'song4', u'chs': '\xe8\xae\xbc', u'vartype': ''}]",[]
1198,吅,xuān,xuan,1,[],"[{u'ch': '\xe5\x96\xa7', u'py': 'xuan1', u'chs': '\xe5\x96\xa7', u'vartype': ''}]",[]
1199,吆,yāo,yao,1,"['to shout', 'to bawl', 'to yell (to urge on an animal)', ""to hawk (one's wares)""]",[],[]
1200,合,gě,ge,3,"['100 ml', 'one-tenth of a peck', 'measure for dry grain equal to one-tenth of sheng \xe5\x8d\x87 or liter, or one-hundredth dou \xe6\x96\x97']",[],[]
1201,合,hé,he,2,"['to close', 'to join', 'to fit', 'to be equal to', 'whole', 'together', 'round (in battle)', 'conjunction (astronomy)', '1st note of pentatonic scale']","[{u'ch': '\xe7\x9b\x92', u'py': 'he2', u'chs': '\xe7\x9b\x92', u'vartype': 'old'}]",[]
1202,吉,jí,ji,2,"['lucky', 'giga- (meaning billion or 10^9)']",[],[]
1203,吊,diào,diao,4,"['to suspend', 'to hang up', 'to hang a person']",[],[]
1204,吋,cùn,cun,4,['inch (English)'],[],[]
1205,同,tóng,tong,2,"['like', 'same', 'similar', 'together', 'alike', 'with']",[],[]
1206,名,míng,ming,2,"['name', 'noun (part of speech)', 'place (e.g. among winners)', 'famous', 'classifier for people']",[],[]
1207,后,hoù,hou,4,"['empress', 'queen']",[],[]
1208,吏,lì,li,4,['minor government official or functionary (old)'],[],[]
1209,吐,tǔ,tu,3,"['to spit', 'to put', 'to say']",[],[]
1210,吐,tù,tu,4,"['to vomit', 'to throw up']",[],[]
1211,向,xiàng,xiang,4,"['towards', 'to face', 'to turn towards', 'direction', 'to support', 'to side with', 'shortly before', 'formerly', 'always', 'all along']",[],[]
1212,吒,zhā,zha,1,"['used for the sound ""zha"" in certain names']",[],[]
1213,吒,zhà,zha,4,[],"[{u'ch': '\xe5\x92\xa4', u'py': 'zha4', u'chs': '\xe5\x92\xa4', u'vartype': ''}]",[]
1214,吔,yē,ye,1,"['onomat. for surprise, amazement and sigh']",[],[]
1215,吖,ā,a,1,"['phonetic a, similar to \xe5\x91\xb5', '-azine, see \xe5\x90\x96\xe5\x97\xaa[a1 qin2]']",[],[]
1216,吚,yī,yi,1,[],"[{u'ch': '\xe5\x92\xbf', u'py': 'yi1', u'chs': '\xe5\x92\xbf', u'vartype': ''}]",[]
1217,君,jūn,jun,1,"['monarch', 'lord', 'gentleman', 'ruler']",[],[]
1218,吜,choǔ,chou,3,['(onom.)'],[],[]
1219,吝,lìn,lin,4,['stingy'],[],[]
1220,吞,tūn,tun,1,"['to swallow', 'to take']",[],[]
1221,吟,yín,yin,2,"['to chant', 'to recite', 'to moan', 'to groan', 'cry (of certain animals and insects)', 'song (ancient poem)']",[],[]
1222,吠,fèi,fei,4,['to bark'],[],[]
1223,吡,bǐ,bi,3,['used as phonetic bi- or pi-'],[],[]
1224,吥,bù,bu,4,['see \xe5\x97\x8a\xe5\x90\xa5|\xe5\x94\x9d\xe5\x90\xa5[Gong4 bu4]'],[],[]
1225,否,foǔ,fou,3,"['to negate', 'to deny', 'not']",[],[]
1226,否,pǐ,pi,3,"['clogged', 'evil']",[],[]
1227,吧,bā,ba,1,"['bar (loanword) (serving drinks, or providing Internet access etc)', 'to puff (on a pipe etc)', '(onom.) bang', 'abbr. for \xe8\xb2\xbc\xe5\x90\xa7|\xe8\xb4\xb4\xe5\x90\xa7[tie1 ba1]']",[],[]
1228,吧,ba,ba,5,"['(modal particle indicating suggestion or surmise)', '...right?', '...OK?', '...I presume.']",[],[]
1229,吩,fēn,fen,1,"['leave instructions', 'to order']",[],[]
1230,吪,é,e,2,['move'],[],[]
1231,含,hán,han,2,"['to keep', 'to contain', 'to suck (keep in your mouth without chewing)']",[],[]
1232,听,yǐn,yin,3,['smile (archaic)'],[],[]
1233,吭,háng,hang,2,['throat'],[],[]
1234,吭,kēng,keng,1,['to utter'],[],[]
1235,吮,shǔn,shun,3,['to suck'],[],[]
