,traditional,pinyin,pinyin(raw),tone,definition,variants,measure-words
34,㕻,poǔ,pou,3,['also pr. [tou4]'],"[{u'ch': '\xe5\x92\x85', u'py': 'pou3', u'chs': '\xe5\x92\x85', u'vartype': ''}]",[]
35,㗂,shěng,sheng,3,"['tight-lipped', 'to examine', 'to watch', 'to scour (esp. Cantonese)']","[{u'ch': '\xe7\x9c\x81', u'py': 'sheng3', u'chs': '\xe7\x9c\x81', u'vartype': ''}]",[]
36,㗎,jià,jia,4,"['sentence-final particle, contraction of ""\xe5\x98\x85\xe5\x91\x80"" (Cantonese)']","[{u'ch': '\xe5\x98\x85', u'py': 'kai4', u'chs': '\xe5\x98\x85', u'vartype': ''}]",[]
37,㘭,ào,ao,4,[],"[{u'ch': '\xe5\x9d\xb3', u'py': 'ao4', u'chs': '\xe5\x9d\xb3', u'vartype': ''}]",[]
38,㚻,jī,ji,1,['see \xe3\x9a\xbb\xe5\xa7\xa6|\xe3\x9a\xbb\xe5\xa5\xb8[ji1 jian1]'],[],[]
39,㛂,nuǒ,nuo,3,"['graceful', 'frail and petite']",[],[]
40,㝄,chún,chun,2,[],"[{u'ch': '\xe7\xb4\x94', u'py': 'chun2', u'chs': '\xe7\xba\xaf', u'vartype': 'old'}]",[]
41,㝇,chún,chun,2,[],"[{u'ch': '\xe9\xb6\x89', u'py': 'chun2', u'chs': '\xe9\xb9\x91', u'vartype': 'old'}]",[]
42,㝛,sù,su,4,[],"[{u'ch': '\xe5\xae\xbf', u'py': 'su4', u'chs': '\xe5\xae\xbf', u'vartype': 'old'}]",[]
43,㝠,míng,ming,2,[],"[{u'ch': '\xe5\x86\xa5', u'py': 'ming2', u'chs': '\xe5\x86\xa5', u'vartype': 'old'}]",[]
44,㝡,zuì,zui,4,[],"[{u'ch': '\xe6\x9c\x80', u'py': 'zui4', u'chs': '\xe6\x9c\x80', u'vartype': ''}]",[]
45,㝵,ài,ai,4,[],"[{u'ch': '\xe7\xa4\x99', u'py': 'ai4', u'chs': '\xe7\xa2\x8d', u'vartype': ''}]",[]
46,㝵,dé,de,2,['to obtain'],"[{u'ch': '\xe5\xbe\x97', u'py': 'de2', u'chs': '\xe5\xbe\x97', u'vartype': 'old'}]",[]
47,㞎,bǎ,ba,3,"['(baby talk) poop', 'see \xe3\x9e\x8e\xe3\x9e\x8e[ba3 ba5]']",[],[]
48,㞗,qiú,qiu,2,"['(dialect) penis', 'dick']",[],[]
49,㞙,niào,niao,4,[],"[{u'ch': '\xe5\xb0\xbf', u'py': 'niao4', u'chs': '\xe5\xb0\xbf', u'vartype': 'old'}]",[]
50,㞞,sóng,song,2,"['(coll.) semen', 'weak and incompetent']",[],[]
51,㟁,àn,an,4,[],"[{u'ch': '\xe5\xb2\xb8', u'py': 'an4', u'chs': '\xe5\xb2\xb8', u'vartype': ''}]",[]
52,㠀,dǎo,dao,3,[],"[{u'ch': '\xe5\xb3\xb6', u'py': 'dao3', u'chs': '\xe5\xb2\x9b', u'vartype': ''}]",[]
53,㠯,yǐ,yi,3,[],"[{u'ch': '\xe4\xbb\xa5', u'py': 'yi3', u'chs': '\xe4\xbb\xa5', u'vartype': 'old'}]",[]
54,㠶,fān,fan,1,[],"[{u'ch': '\xe5\xb8\x86', u'py': 'fan1', u'chs': '\xe5\xb8\x86', u'vartype': ''}]",[]
55,㡌,mào,mao,4,[],"[{u'ch': '\xe5\xb8\xbd', u'py': 'mao4', u'chs': '\xe5\xb8\xbd', u'vartype': 'old'}]",[]
56,㢘,lián,lian,2,[],"[{u'ch': '\xe5\xbb\x89', u'py': 'lian2', u'chs': '\xe5\xbb\x89', u'vartype': 'old'}]",[]
57,㢠,jiǒng,jiong,3,[],"[{u'ch': '\xe8\xbf\xa5', u'py': 'jiong3', u'chs': '\xe8\xbf\xa5', u'vartype': ''}]",[]
